pca_1,pca_2,category,split,sample_id,window_start
0.3229595124721527,-0.09383849054574966,Cross-State Replay,Training support,state_ep0001_seed0001__action_ep0013_seed0015,12
0.30547815561294556,-0.15982361137866974,Cross-State Replay,Training support,state_ep0001_seed0001__action_ep0011_seed0013,12
0.004735587630420923,-0.660508394241333,Cross-State Replay,Training support,state_ep0004_seed0004__action_ep0017_seed0021,5
0.3228963017463684,-0.0938885286450386,Cross-State Replay,Training support,state_ep0004_seed0004__action_ep0013_seed0015,12
0.30550307035446167,-0.7713431715965271,Cross-State Replay,Training support,state_ep0003_seed0003__action_ep0018_seed0023,2
0.3055030405521393,-0.771342933177948,Cross-State Replay,Training support,state_ep0004_seed0004__action_ep0018_seed0023,2
0.3307346701622009,-0.8183937668800354,Cross-State Replay,Training support,state_ep0001_seed0001__action_ep0015_seed0018,2
0.3356819152832031,-0.8191709518432617,Cross-State Replay,Training support,state_ep0003_seed0003__action_ep0012_seed0014,1
0.7250751852989197,0.40469542145729065,Cross-State Replay,Training support,state_ep0004_seed0004__action_ep0016_seed0019,36
0.32289615273475647,-0.09388848394155502,Cross-State Replay,Training support,state_ep0002_seed0002__action_ep0013_seed0015,12
-0.033961739391088486,-0.7494335770606995,Cross-State Replay,Training support,state_ep0003_seed0003__action_ep0014_seed0016,2
0.7250778675079346,0.4046993553638458,Cross-State Replay,Training support,state_ep0000_seed0000__action_ep0016_seed0019,36
-0.02615637704730034,-0.7236964702606201,Cross-State Replay,Training support,state_ep0002_seed0002__action_ep0010_seed0011,3
0.0047356076538562775,-0.6605084538459778,Cross-State Replay,Training support,state_ep0003_seed0003__action_ep0017_seed0021,5
-0.026165280491113663,-0.7237039804458618,Cross-State Replay,Training support,state_ep0003_seed0003__action_ep0010_seed0011,3
0.33073481917381287,-0.818393349647522,Cross-State Replay,Training support,state_ep0004_seed0004__action_ep0015_seed0018,2
0.3307346999645233,-0.8183935284614563,Cross-State Replay,Training support,state_ep0002_seed0002__action_ep0015_seed0018,2
-0.03396127000451088,-0.7494331002235413,Cross-State Replay,Training support,state_ep0000_seed0000__action_ep0014_seed0016,2
0.3307347595691681,-0.8183935284614563,Cross-State Replay,Training support,state_ep0003_seed0003__action_ep0015_seed0018,2
0.3228147029876709,-0.09397432208061218,Cross-State Replay,Training support,state_ep0000_seed0000__action_ep0013_seed0015,12
0.3356820046901703,-0.819171130657196,Cross-State Replay,Training support,state_ep0004_seed0004__action_ep0012_seed0014,1
0.30550307035446167,-0.7713429927825928,Cross-State Replay,Training support,state_ep0001_seed0001__action_ep0018_seed0023,2
-0.02613774873316288,-0.7236772179603577,Cross-State Replay,Training support,state_ep0000_seed0000__action_ep0010_seed0011,3
-0.03396172076463699,-0.749433696269989,Cross-State Replay,Training support,state_ep0001_seed0001__action_ep0014_seed0016,2
0.7249617576599121,0.40454623103141785,Cross-State Replay,Training support,state_ep0001_seed0001__action_ep0016_seed0019,36
0.3356820046901703,-0.8191708922386169,Cross-State Replay,Training support,state_ep0002_seed0002__action_ep0012_seed0014,1
0.30535703897476196,-0.15994496643543243,Cross-State Replay,Training support,state_ep0002_seed0002__action_ep0011_seed0013,12
0.30550307035446167,-0.7713432908058167,Cross-State Replay,Training support,state_ep0002_seed0002__action_ep0018_seed0023,2
0.7250753045082092,0.4046953618526459,Cross-State Replay,Training support,state_ep0003_seed0003__action_ep0016_seed0019,36
1.0163112878799438,1.2118043899536133,Local Perturbation,Training support,ep0031_start0083_seed0000,1
-0.9306022524833679,0.22295892238616943,Local Perturbation,Training support,ep0037_start0049_seed0000,0
0.7882164716720581,0.6873573660850525,Local Perturbation,Training support,ep0021_start0043_seed0001,1
-0.6086809039115906,0.10608098655939102,Local Perturbation,Training support,ep0037_start0015_seed0002,1
-0.6289770603179932,0.11709943413734436,Local Perturbation,Training support,ep0030_start0016_seed0004,1
0.14036203920841217,-0.3752487897872925,Local Perturbation,Training support,ep0035_start0009_seed0000,0
-0.9632672667503357,0.1541072428226471,Local Perturbation,Training support,ep0033_start0041_seed0001,1
0.2181430608034134,-0.736656904220581,Local Perturbation,Training support,ep0047_start0005_seed0000,0
-1.2702507972717285,0.3666158616542816,Local Perturbation,Training support,ep0042_start0069_seed0001,0
1.0184416770935059,1.1101534366607666,Local Perturbation,Training support,ep0000_start0088_seed0004,1
0.8009912371635437,0.6402484178543091,Local Perturbation,Training support,ep0031_start0046_seed0003,1
1.0046504735946655,1.1853196620941162,Local Perturbation,Training support,ep0021_start0094_seed0003,0
-0.9610159993171692,0.2906799614429474,Local Perturbation,Training support,ep0012_start0031_seed0004,0
0.23509252071380615,-0.6966452598571777,Local Perturbation,Training support,ep0042_start0000_seed0000,1
0.81920325756073,0.6512760519981384,Local Perturbation,Training support,ep0027_start0049_seed0004,1
0.8061487674713135,0.7435413599014282,Local Perturbation,Training support,ep0021_start0023_seed0003,1
-1.1521650552749634,0.26955103874206543,Local Perturbation,Training support,ep0047_start0100_seed0003,0
-1.4075804948806763,0.44890010356903076,Local Perturbation,Training support,ep0046_start0096_seed0002,0
-1.375761866569519,0.4209382236003876,Local Perturbation,Training support,ep0020_start0079_seed0004,1
-0.6974949836730957,-0.04790358617901802,Local Perturbation,Training support,ep0047_start0110_seed0002,0
-0.9607717394828796,0.18462899327278137,Local Perturbation,Training support,ep0042_start0044_seed0001,1
0.9612963199615479,0.990419864654541,Local Perturbation,Training support,ep0017_start0076_seed0000,1
-0.945816695690155,0.15734422206878662,Local Perturbation,Training support,ep0037_start0046_seed0004,0
0.8036837577819824,0.7178781628608704,Local Perturbation,Training support,ep0014_start0045_seed0000,0
-1.5818979740142822,0.7645308971405029,Local Perturbation,Training support,ep0032_start0087_seed0001,1
-0.9446644186973572,0.1573880910873413,Local Perturbation,Training support,ep0020_start0042_seed0003,1
0.7851260900497437,0.7306517958641052,Local Perturbation,Training support,ep0000_start0054_seed0001,1
-0.973248302936554,0.17534463107585907,Local Perturbation,Training support,ep0033_start0046_seed0002,1
-1.4393014907836914,0.533519446849823,Local Perturbation,Training support,ep0030_start0083_seed0003,0
0.13283483684062958,-0.35611361265182495,Local Perturbation,Training support,ep0026_start0006_seed0002,1
0.024445731192827225,-0.5762172341346741,Local Perturbation,Training support,ep0017_start0002_seed0003,1
